id	log2FoldChange	padj	significant	label
E00957	-0.490885	0.00267472732301737	Unchanged	-
E00961	2.43625	1.36107008138278e-22	EHBIO_UP	-
E00962	-0.129985	0.19501308498089	Unchanged	-
E00963	0.697102	0.120948464469533	Unchanged	-
E00967	0.208653	0.00161073675048611	Unchanged	-
E00968	-0.406907	8.94465280301349e-07	Unchanged	-
E00974	0.321012	5.16733824551681e-05	Unchanged	-
E00975	-0.430364	4.10685391271755e-06	Unchanged	-
E00977	-0.195672	0.00570917794226139	Unchanged	-
E00979	1.25114	8.44257910884406e-15	EHBIO_UP	-
E00981	0.236652	0.00107929414058493	Unchanged	-
E00983	0.585748	5.49753530536642e-07	Unchanged	-
E00985	-0.0930341	0.327742964185835	Unchanged	-
E00986	3.70854	3.68565941887257e-279	EHBIO_UP	-
E00987	-0.154212	0.0686866937946918	Unchanged	-
E00988	0.0164003	0.8555678509582	Unchanged	-
E00989	0.451103	2.86586889612443e-15	Unchanged	-
E00990	1.07291	2.12938858393163e-280	EHBIO_UP	-
E00991	-0.139232	5.3941258469954e-06	Unchanged	-
E00994	0.986058	1.1550024537926e-37	Unchanged	-
E00996	-0.2278	6.40541757164675e-09	Unchanged	-
E00999	-0.388394	8.03694197874642e-15	Unchanged	-
E01001	0.448625	0.960966568518151	Unchanged	-
E01003	0.452584	9.167419487257e-11	Unchanged	-
E01004	-1.31568	1.3955337912521e-282	Baodian_UP	-
E01005	0.448625	0.960966568518151	Unchanged	-
E01006	-0.312814	0.000690812537160757	Unchanged	-
E01007	-2.63388	3.37449106750767e-22	Baodian_UP	-
E01009	-0.576643	4.8874465223467e-08	Unchanged	-
E01010	0.223925	1.90346851647349e-05	Unchanged	-
E01011	-0.243328	0.719124607541792	Unchanged	-
E01030	0.558049	8.49799903240816e-103	Unchanged	-
E01031	1.32734	0.254790920530453	Unchanged	-
E01032	0.00411535	0.971124677041274	Unchanged	-
E01033	0.132342	0.141023865950445	Unchanged	-
E01034	0.760659	2.22864108678725e-46	Unchanged	-
E01035	-0.00437723	1	Unchanged	-
E01036	1.26576	6.2196754821588e-06	EHBIO_UP	-
E01037	0.568957	1.41316025321775e-12	Unchanged	-
E01039	-0.605806	3.46189705043076e-19	Unchanged	-
E01040	-0.04726	0.659352416790143	Unchanged	-
E01043	-0.250036	0.0215157959937886	Unchanged	-
E01044	-0.693611	1.27409332617709e-13	Unchanged	-
E01047	-0.0865723	0.429910208838316	Unchanged	-
E01048	-1.29774	0.179720144746062	Unchanged	-
E01049	0.609006	2.27727372049765e-95	Unchanged	-
E01050	-0.0544858	0.431869013624034	Unchanged	-
E01052	-0.176826	0.405775250541353	Unchanged	-
E01053	-0.456985	1.22809029618619e-64	Unchanged	-
E01055	0.345319	1.06308157408919e-06	Unchanged	-
E01056	-0.45431	1.77605560246338e-18	Unchanged	-
E01057	1.56197	1.45807810303688e-223	EHBIO_UP	-
E01058	0.238879	0.00180246444146749	Unchanged	-
E01059	0.0723348	0.47716387359218	Unchanged	-
E01060	0.321354	0.000104049385912624	Unchanged	-
E01061	0.751915	2.80080704426518e-14	Unchanged	-
E01062	0.258025	0.0454400212627685	Unchanged	-
E01064	-0.259017	8.46711682459465e-08	Unchanged	-
E01065	0.595657	9.36319424029927e-09	Unchanged	-
E01066	0.475039	0.960966568518151	Unchanged	-
E01068	-0.292723	3.92018671870238e-30	Unchanged	-
E01069	-1.06891	4.26636613392158e-36	Baodian_UP	-
E01070	-0.0714774	0.205592254410956	Unchanged	-
E01071	0.474379	0.0118973031474105	Unchanged	-
E01072	-0.108457	0.105739237576178	Unchanged	-
E01073	1.06588	1.1159463394134e-07	EHBIO_UP	-
E01074	-0.374775	0.00108321324401098	Unchanged	-
E01079	-0.517735	1.38415240632444e-07	Unchanged	-
E01080	0.349189	6.45650088603421e-06	Unchanged	-
E01081	-1.58776	2.98564607874338e-20	Baodian_UP	-
E01082	-0.210528	0.353349251282714	Unchanged	-
E01083	-0.87202	7.48334868566467e-78	Unchanged	-
E01086	-0.489589	2.15179749406177e-16	Unchanged	-
E01088	0.258907	0.018517437561264	Unchanged	-
E01090	-0.0253937	0.955624174116871	Unchanged	-
E01091	-0.631462	8.92623810413597e-18	Unchanged	-
E01092	-0.367521	1	Unchanged	-
E01094	0.330889	0.00664092938460698	Unchanged	-
E01098	0.549604	2.65508826304862e-31	Unchanged	-
E01099	0.476425	0.00132960079155444	Unchanged	-
E01101	0.153096	0.0161030757926389	Unchanged	-
E01104	-0.664034	8.06748050886624e-13	Unchanged	-
E01106	0.53982	4.26637292409962e-19	Unchanged	-
E01107	-1.39486	3.28054056982858e-14	Baodian_UP	-
E01108	0.45645	4.5343617251786e-13	Unchanged	-
E01111	-0.366883	0.00125832599883328	Unchanged	-
E01113	0.692071	5.62675002677458e-13	Unchanged	-
E01114	-1.22093	2.43812339731275e-62	Baodian_UP	-
E01115	0.764044	5.45365285643994e-24	Unchanged	-
E01117	-0.0114672	1	Unchanged	-
E01120	-0.738703	4.86448949257432e-57	Unchanged	-
E01123	-1.33263	2.34629930278395e-39	Baodian_UP	-
E01124	0.755654	2.71429491209932e-26	Unchanged	-
E01126	-0.541998	1.07596786563442e-18	Unchanged	-
E01128	-0.693524	5.56946467572499e-05	Unchanged	-
E01129	-0.283178	0.001448597561426	Unchanged	-
E01130	7.00064	2.61489940384173e-97	EHBIO_UP	-
E01134	0.200141	0.019235656147738	Unchanged	-
E01135	0.868311	5.71515952596573e-107	Unchanged	-
